Index	Vg	Id	Time	Vd
1	 0 V	 884.78 pA	 68.95 ms	 0 V
2	 30.0 mV	 37.42 pA	 78.30 ms	 0 V
3	 60.0 mV	 -1.40296 nA	 87.84 ms	 0 V
4	 90.0 mV	 1.60408 nA	 97.37 ms	 0 V
5	 120.0 mV	 -2.27212 nA	 107.08 ms	 0 V
6	 150.0 mV	 2.79190 nA	 116.65 ms	 0 V
7	 180.0 mV	 -3.60388 nA	 126.10 ms	 0 V
8	 210.0 mV	 4.11186 nA	 135.54 ms	 0 V
9	 240.0 mV	 -4.82102 nA	 144.85 ms	 0 V
10	 270.0 mV	 5.22900 nA	 153.51 ms	 0 V
11	 300.0 mV	 -4.97702 nA	 162.04 ms	 0 V
12	 330.0 mV	 5.00026 nA	 172.42 ms	 0 V
13	 360.0 mV	 -5.59190 nA	 182.53 ms	 0 V
14	 390.0 mV	 4.24238 nA	 192.86 ms	 0 V
15	 420.0 mV	 -5.55476 nA	 201.40 ms	 0 V
16	 450.0 mV	 3.14678 nA	 214.03 ms	 0 V
17	 480.0 mV	 -7.75854 nA	 223.56 ms	 0 V
18	 510.0 mV	 -1.48432 nA	 233.13 ms	 0 V
19	 540.0 mV	 1.68494 nA	 242.68 ms	 0 V
20	 570.0 mV	 4.35260 nA	 252.13 ms	 0 V
21	 600.0 mV	 7.62978 nA	 261.69 ms	 0 V
22	 630.0 mV	 9.93956 nA	 271.13 ms	 0 V
23	 660.0 mV	 9.4991 nA	 305.30 ms	 0 V
24	 690.0 mV	 1.99924 nA	 344.42 ms	 0 V
25	 720.0 mV	 4.41922 nA	 354.01 ms	 0 V
26	 750.0 mV	 6.46174 nA	 363.50 ms	 0 V
27	 780.0 mV	 8.56122 nA	 373.93 ms	 0 V
28	 810.0 mV	 10.45610 nA	 383.46 ms	 0 V
29	 840.0 mV	 1.092840 uA	 443.21 ms	 0 V
30	 870.0 mV	 807.940 nA	 449.79 ms	 0 V
31	 900.0 mV	 642.350 nA	 456.22 ms	 0 V
32	 930.0 mV	 548.740 nA	 462.21 ms	 0 V
33	 960.0 mV	 476.830 nA	 468.49 ms	 0 V
34	 990.0 mV	 441.110 nA	 474.16 ms	 0 V
35	 1.0200 V	 412.490 nA	 480.47 ms	 0 V
36	 1.0500 V	 397.900 nA	 486.13 ms	 0 V
37	 1.0800 V	 388.400 nA	 491.78 ms	 0 V
38	 1.1100 V	 382.470 nA	 498.99 ms	 0 V
39	 1.1400 V	 379.960 nA	 504.65 ms	 0 V
40	 1.1700 V	 382.640 nA	 511.91 ms	 0 V
41	 1.2000 V	 391.870 nA	 517.57 ms	 0 V
42	 0 V	 4.09382 nA	 675.37 ms	 100.00 mV
43	 30.0 mV	 -4.03682 nA	 685.45 ms	 100.00 mV
44	 60.0 mV	 4.45188 nA	 694.94 ms	 100.00 mV
45	 90.0 mV	 -4.90658 nA	 704.41 ms	 100.00 mV
46	 120.0 mV	 5.15316 nA	 714.00 ms	 100.00 mV
47	 150.0 mV	 -5.43578 nA	 723.50 ms	 100.00 mV
48	 180.0 mV	 5.43404 nA	 733.06 ms	 100.00 mV
49	 210.0 mV	 -5.32226 nA	 742.54 ms	 100.00 mV
50	 240.0 mV	 5.07466 nA	 752.12 ms	 100.00 mV
51	 270.0 mV	 -4.86732 nA	 761.71 ms	 100.00 mV
52	 300.0 mV	 4.54492 nA	 771.29 ms	 100.00 mV
53	 330.0 mV	 -5.18428 nA	 782.37 ms	 100.00 mV
54	 360.0 mV	 5.16442 nA	 791.67 ms	 100.00 mV
55	 390.0 mV	 -1.38408 nA	 800.23 ms	 100.00 mV
56	 420.0 mV	 5.3240 nA	 834.40 ms	 100.00 mV
57	 450.0 mV	 25.1000 nA	 850.81 ms	 100.00 mV
58	 480.0 mV	 91.490 nA	 883.36 ms	 100.00 mV
59	 510.0 mV	 438.500 nA	 889.99 ms	 100.00 mV
60	 540.0 mV	 1.65130 uA	 937.17 ms	 100.00 mV
61	 570.0 mV	 5.22720 uA	 944.70 ms	 100.00 mV
62	 600.0 mV	 13.3630 uA	 981.54 ms	 100.00 mV
63	 630.0 mV	 28.0590 uA	 988.61 ms	 100.00 mV
64	 660.0 mV	 50.5960 uA	 995.33 ms	 100.00 mV
65	 690.0 mV	 81.1730 uA	 1.00200 s	 100.00 mV
66	 720.0 mV	 118.820 uA	 1.03007 s	 100.00 mV
67	 750.0 mV	 162.540 uA	 1.03672 s	 100.00 mV
68	 780.0 mV	 210.810 uA	 1.04330 s	 100.00 mV
69	 810.0 mV	 261.950 uA	 1.04991 s	 100.00 mV
70	 840.0 mV	 314.890 uA	 1.05657 s	 100.00 mV
71	 870.0 mV	 368.660 uA	 1.06328 s	 100.00 mV
72	 900.0 mV	 422.160 uA	 1.06996 s	 100.00 mV
73	 930.0 mV	 475.230 uA	 1.07664 s	 100.00 mV
74	 960.0 mV	 527.470 uA	 1.08327 s	 100.00 mV
75	 990.0 mV	 578.180 uA	 1.08966 s	 100.00 mV
76	 1.0200 V	 627.530 uA	 1.09552 s	 100.00 mV
77	 1.0500 V	 675.440 uA	 1.10319 s	 100.00 mV
78	 1.0800 V	 721.380 uA	 1.10989 s	 100.00 mV
79	 1.1100 V	 765.630 uA	 1.11650 s	 100.00 mV
80	 1.1400 V	 807.960 uA	 1.12312 s	 100.00 mV
81	 1.1700 V	 848.440 uA	 1.12975 s	 100.00 mV
82	 1.2000 V	 887.100 uA	 1.13640 s	 100.00 mV
83	 0 V	 4.84274 nA	 1.61413 s	 200.00 mV
84	 30.0 mV	 -4.66550 nA	 1.62421 s	 200.00 mV
