Index	Vg	Id	Time	Vd
1	 0 V	 -73.3320 uA	 19.14 ms	 0 V
2	 30.0 mV	 -68.5140 uA	 25.10 ms	 0 V
3	 60.0 mV	 -63.8480 uA	 31.27 ms	 0 V
4	 90.0 mV	 -59.3460 uA	 37.40 ms	 0 V
5	 120.0 mV	 -54.8560 uA	 43.62 ms	 0 V
6	 150.0 mV	 -50.4480 uA	 49.82 ms	 0 V
7	 180.0 mV	 -46.2740 uA	 55.99 ms	 0 V
8	 210.0 mV	 -42.0660 uA	 62.07 ms	 0 V
9	 240.0 mV	 -37.9480 uA	 67.98 ms	 0 V
10	 270.0 mV	 -33.8880 uA	 73.31 ms	 0 V
11	 300.0 mV	 -30.2580 uA	 79.57 ms	 0 V
12	 330.0 mV	 -26.3880 uA	 84.74 ms	 0 V
13	 360.0 mV	 -22.8600 uA	 91.30 ms	 0 V
14	 390.0 mV	 -19.5760 uA	 96.47 ms	 0 V
15	 420.0 mV	 -16.4220 uA	 101.61 ms	 0 V
16	 450.0 mV	 -13.6520 uA	 107.23 ms	 0 V
17	 480.0 mV	 -11.0760 uA	 112.39 ms	 0 V
18	 510.0 mV	 -8.77770 uA	 126.26 ms	 0 V
19	 540.0 mV	 -6.72190 uA	 132.92 ms	 0 V
20	 570.0 mV	 -5.08910 uA	 139.58 ms	 0 V
21	 600.0 mV	 -3.70820 uA	 146.18 ms	 0 V
22	 630.0 mV	 -2.57590 uA	 153.50 ms	 0 V
23	 660.0 mV	 -1.71810 uA	 160.17 ms	 0 V
24	 690.0 mV	 -1.10800 uA	 165.83 ms	 0 V
25	 720.0 mV	 -672.860 nA	 181.99 ms	 0 V
26	 750.0 mV	 -386.520 nA	 187.35 ms	 0 V
27	 780.0 mV	 -202.520 nA	 192.50 ms	 0 V
28	 810.0 mV	 -105.860 nA	 197.63 ms	 0 V
29	 840.0 mV	 -38.840 nA	 230.58 ms	 0 V
30	 870.0 mV	 -12.7846 nA	 244.80 ms	 0 V
31	 900.0 mV	 -12.8826 nA	 275.64 ms	 0 V
32	 930.0 mV	 -3.3084 nA	 290.46 ms	 0 V
33	 960.0 mV	 4.51290 nA	 328.30 ms	 0 V
34	 990.0 mV	 2.3836 nA	 408.87 ms	 0 V
35	 1.0200 V	 5.19110 nA	 447.69 ms	 0 V
36	 1.0500 V	 -3.6678 nA	 478.01 ms	 0 V
37	 1.0800 V	 -19.0 pA	 522.00 ms	 0 V
38	 1.1100 V	 -5.2970 nA	 535.41 ms	 0 V
39	 1.1400 V	 4.700 nA	 567.98 ms	 0 V
40	 1.1700 V	 -1.8528 nA	 590.38 ms	 0 V
41	 1.2000 V	 -3.1974 nA	 600.83 ms	 0 V
42	 0 V	 -72.0780 uA	 711.00 ms	 100.00 mV
43	 30.0 mV	 -67.5140 uA	 717.69 ms	 100.00 mV
44	 60.0 mV	 -63.0160 uA	 723.83 ms	 100.00 mV
45	 90.0 mV	 -58.4960 uA	 730.03 ms	 100.00 mV
46	 120.0 mV	 -54.0940 uA	 736.22 ms	 100.00 mV
47	 150.0 mV	 -49.7200 uA	 742.44 ms	 100.00 mV
48	 180.0 mV	 -45.5840 uA	 748.66 ms	 100.00 mV
49	 210.0 mV	 -41.4560 uA	 754.83 ms	 100.00 mV
50	 240.0 mV	 -37.2540 uA	 761.05 ms	 100.00 mV
51	 270.0 mV	 -33.4420 uA	 767.26 ms	 100.00 mV
52	 300.0 mV	 -29.6140 uA	 773.34 ms	 100.00 mV
53	 330.0 mV	 -25.9800 uA	 779.48 ms	 100.00 mV
54	 360.0 mV	 -22.5200 uA	 785.68 ms	 100.00 mV
55	 390.0 mV	 -19.2120 uA	 791.83 ms	 100.00 mV
56	 420.0 mV	 -16.2140 uA	 797.92 ms	 100.00 mV
57	 450.0 mV	 -13.3780 uA	 804.02 ms	 100.00 mV
58	 480.0 mV	 -10.8940 uA	 810.11 ms	 100.00 mV
59	 510.0 mV	 -8.59460 uA	 822.41 ms	 100.00 mV
60	 540.0 mV	 -6.68970 uA	 829.56 ms	 100.00 mV
61	 570.0 mV	 -5.03250 uA	 836.74 ms	 100.00 mV
62	 600.0 mV	 -3.60160 uA	 843.43 ms	 100.00 mV
63	 630.0 mV	 -2.53970 uA	 849.99 ms	 100.00 mV
64	 660.0 mV	 -1.70670 uA	 856.75 ms	 100.00 mV
65	 690.0 mV	 -1.08640 uA	 863.34 ms	 100.00 mV
66	 720.0 mV	 -675.180 nA	 879.30 ms	 100.00 mV
67	 750.0 mV	 -413.360 nA	 885.25 ms	 100.00 mV
68	 780.0 mV	 -191.780 nA	 892.01 ms	 100.00 mV
69	 810.0 mV	 -103.380 nA	 897.93 ms	 100.00 mV
70	 840.0 mV	 -41.6106 nA	 911.72 ms	 100.00 mV
71	 870.0 mV	 -13.9224 nA	 922.18 ms	 100.00 mV
72	 900.0 mV	 -8.0526 nA	 932.61 ms	 100.00 mV
73	 930.0 mV	 3.32490 nA	 967.03 ms	 100.00 mV
74	 960.0 mV	 -5.92150 nA	 977.69 ms	 100.00 mV
75	 990.0 mV	 2.67600 nA	 988.25 ms	 100.00 mV
76	 1.0200 V	 -5.18610 nA	 995.80 ms	 100.00 mV
77	 1.0500 V	 309.8 pA	 1.04140 s	 100.00 mV
78	 1.0800 V	 -805.8 pA	 1.06063 s	 100.00 mV
79	 1.1100 V	 4.920 nA	 1.08810 s	 100.00 mV
80	 1.1400 V	 4.30940 nA	 1.12747 s	 100.00 mV
81	 1.1700 V	 -4.9176 nA	 1.15523 s	 100.00 mV
82	 1.2000 V	 -2.9864 nA	 1.17946 s	 100.00 mV
83	 0 V	 -70.6360 uA	 1.59547 s	 200.00 mV
84	 30.0 mV	 -66.1340 uA	 1.60217 s	 200.00 mV
85	 60.0 mV	 -61.8260 uA	 1.60838 s	 200.00 mV
86	 90.0 mV	 -57.2900 uA	 1.61460 s	 200.00 mV
87	 120.0 mV	 -53.0920 uA	 1.62073 s	 200.00 mV
88	 150.0 mV	 -48.8180 uA	 1.62667 s	 200.00 mV
89	 180.0 mV	 -44.5860 uA	 1.63288 s	 200.00 mV
90	 210.0 mV	 -40.5380 uA	 1.63802 s	 200.00 mV
91	 240.0 mV	 -36.5540 uA	 1.64321 s	 200.00 mV
92	 270.0 mV	 -32.6800 uA	 1.64867 s	 200.00 mV
93	 300.0 mV	 -28.9500 uA	 1.65488 s	 200.00 mV
94	 330.0 mV	 -25.3780 uA	 1.66106 s	 200.00 mV
95	 360.0 mV	 -21.9860 uA	 1.66715 s	 200.00 mV
96	 390.0 mV	 -18.7320 uA	 1.67311 s	 200.00 mV
97	 420.0 mV	 -15.8040 uA	 1.67966 s	 200.00 mV
98	 450.0 mV	 -13.0460 uA	 1.68483 s	 200.00 mV
99	 480.0 mV	 -10.5880 uA	 1.69017 s	 200.00 mV
100	 510.0 mV	 -8.34240 uA	 1.70317 s	 200.00 mV
101	 540.0 mV	 -6.49080 uA	 1.70936 s	 200.00 mV
102	 570.0 mV	 -4.86550 uA	 1.71502 s	 200.00 mV
103	 600.0 mV	 -3.53390 uA	 1.72068 s	 200.00 mV
104	 630.0 mV	 -2.45620 uA	 1.72790 s	 200.00 mV
105	 660.0 mV	 -1.63140 uA	 1.73355 s	 200.00 mV
106	 690.0 mV	 -1.05790 uA	 1.74180 s	 200.00 mV
107	 720.0 mV	 -651.860 nA	 1.75794 s	 200.00 mV
108	 750.0 mV	 -361.480 nA	 1.76403 s	 200.00 mV
109	 780.0 mV	 -191.760 nA	 1.76999 s	 200.00 mV
110	 810.0 mV	 -92.2198 nA	 1.78328 s	 200.00 mV
111	 840.0 mV	 -43.8150 nA	 1.79383 s	 200.00 mV
112	 870.0 mV	 -13.2258 nA	 1.80424 s	 200.00 mV
113	 900.0 mV	 -280 pA	 1.83087 s	 200.00 mV
114	 930.0 mV	 -2.4090 nA	 1.88150 s	 200.00 mV
115	 960.0 mV	 -5.98150 nA	 1.91943 s	 200.00 mV
116	 990.0 mV	 4.81620 nA	 1.92701 s	 200.00 mV
117	 1.0200 V	 -1.66050 nA	 1.93462 s	 200.00 mV
118	 1.0500 V	 -2.16960 nA	 1.94229 s	 200.00 mV
119	 1.0800 V	 5.68010 nA	 1.94981 s	 200.00 mV
120	 1.1100 V	 -5.48520 nA	 1.95726 s	 200.00 mV
121	 1.1400 V	 4.22500 nA	 1.96642 s	 200.00 mV
122	 1.1700 V	 -5.2748 nA	 1.99689 s	 200.00 mV
123	 1.2000 V	 -4.36330 nA	 2.03641 s	 200.00 mV
124	 0 V	 -69.3980 uA	 2.28515 s	 300.00 mV
125	 30.0 mV	 -64.9360 uA	 2.29183 s	 300.00 mV
126	 60.0 mV	 -60.6220 uA	 2.29798 s	 300.00 mV
127	 90.0 mV	 -56.2660 uA	 2.30413 s	 300.00 mV
128	 120.0 mV	 -52.0480 uA	 2.31032 s	 300.00 mV
129	 150.0 mV	 -47.9740 uA	 2.31647 s	 300.00 mV
130	 180.0 mV	 -43.8160 uA	 2.32261 s	 300.00 mV
131	 210.0 mV	 -39.8380 uA	 2.32856 s	 300.00 mV
132	 240.0 mV	 -35.9040 uA	 2.33463 s	 300.00 mV
133	 270.0 mV	 -32.1260 uA	 2.34029 s	 300.00 mV
134	 300.0 mV	 -28.4960 uA	 2.34650 s	 300.00 mV
135	 330.0 mV	 -24.9160 uA	 2.35269 s	 300.00 mV
136	 360.0 mV	 -21.6180 uA	 2.35881 s	 300.00 mV
137	 390.0 mV	 -18.4120 uA	 2.36492 s	 300.00 mV
138	 420.0 mV	 -15.5020 uA	 2.37109 s	 300.00 mV
