Index	Vg	Id	Time	Vd
1	 0 V	 -1.3591 nA	 42.00 ms	 0 V
2	 30.0 mV	 -953.0 pA	 62.76 ms	 0 V
3	 60.0 mV	 -1.080 nA	 98.33 ms	 0 V
4	 90.0 mV	 -4.8846 nA	 116.96 ms	 0 V
5	 120.0 mV	 -5.880 nA	 192.82 ms	 0 V
6	 150.0 mV	 -1.7317 nA	 212.93 ms	 0 V
7	 180.0 mV	 -5.4896 nA	 275.98 ms	 0 V
8	 210.0 mV	 -107.5 pA	 292.87 ms	 0 V
9	 240.0 mV	 747.7 pA	 350.73 ms	 0 V
10	 270.0 mV	 -1.680 nA	 378.80 ms	 0 V
11	 300.0 mV	 -1.75950 nA	 424.65 ms	 0 V
12	 330.0 mV	 -7.650 nA	 482.20 ms	 0 V
13	 360.0 mV	 1.160 nA	 515.59 ms	 0 V
14	 390.0 mV	 2.190 nA	 551.73 ms	 0 V
15	 420.0 mV	 2.3 pA	 566.44 ms	 0 V
16	 450.0 mV	 -4.6993 nA	 584.67 ms	 0 V
17	 480.0 mV	 -10.1757 nA	 601.58 ms	 0 V
18	 510.0 mV	 -15.4675 nA	 619.82 ms	 0 V
19	 540.0 mV	 -14.2182 nA	 635.14 ms	 0 V
20	 570.0 mV	 -18.0522 nA	 650.37 ms	 0 V
21	 600.0 mV	 -20.2170 nA	 665.67 ms	 0 V
22	 630.0 mV	 -22.130 nA	 688.08 ms	 0 V
23	 660.0 mV	 -34.2366 nA	 702.74 ms	 0 V
24	 690.0 mV	 -33.4156 nA	 718.74 ms	 0 V
25	 720.0 mV	 -42.1127 nA	 733.71 ms	 0 V
26	 750.0 mV	 -40.8383 nA	 748.91 ms	 0 V
27	 780.0 mV	 -36.6281 nA	 765.58 ms	 0 V
28	 810.0 mV	 -41.3034 nA	 780.85 ms	 0 V
29	 840.0 mV	 -42.7666 nA	 796.08 ms	 0 V
30	 870.0 mV	 -36.6077 nA	 812.55 ms	 0 V
31	 900.0 mV	 -34.8406 nA	 828.27 ms	 0 V
32	 930.0 mV	 -31.1470 nA	 843.59 ms	 0 V
33	 960.0 mV	 -32.5749 nA	 858.86 ms	 0 V
34	 990.0 mV	 -23.6752 nA	 874.09 ms	 0 V
35	 1.0200 V	 -20.0984 nA	 890.77 ms	 0 V
36	 1.0500 V	 -21.6352 nA	 906.02 ms	 0 V
37	 1.0800 V	 -17.8332 nA	 921.26 ms	 0 V
38	 1.1100 V	 -20.7937 nA	 942.51 ms	 0 V
39	 1.1400 V	 -12.2034 nA	 957.83 ms	 0 V
40	 1.1700 V	 -14.1429 nA	 984.11 ms	 0 V
41	 1.2000 V	 -10.6879 nA	 1.00370 s	 0 V
42	 0 V	 1.33658 nA	 1.35538 s	 100.00 mV
43	 30.0 mV	 -1.05754 nA	 1.36540 s	 100.00 mV
44	 60.0 mV	 1.51140 nA	 1.37492 s	 100.00 mV
