Index	Vg	Id	Time	Vd
1	 0 V	 -1.12220 mA	 5.88 ms	 0 V
2	 30.0 mV	 -1.04780 mA	 11.94 ms	 0 V
3	 60.0 mV	 -970.860 uA	 24.78 ms	 0 V
4	 90.0 mV	 -898.500 uA	 31.01 ms	 0 V
5	 120.0 mV	 -829.380 uA	 37.09 ms	 0 V
6	 150.0 mV	 -757.320 uA	 43.04 ms	 0 V
7	 180.0 mV	 -691.820 uA	 48.28 ms	 0 V
8	 210.0 mV	 -627.880 uA	 54.55 ms	 0 V
9	 240.0 mV	 -565.860 uA	 60.74 ms	 0 V
10	 270.0 mV	 -506.780 uA	 66.81 ms	 0 V
11	 300.0 mV	 -449.180 uA	 72.76 ms	 0 V
12	 330.0 mV	 -394.320 uA	 79.45 ms	 0 V
13	 360.0 mV	 -344.120 uA	 85.87 ms	 0 V
14	 390.0 mV	 -296.340 uA	 92.09 ms	 0 V
15	 420.0 mV	 -251.900 uA	 98.25 ms	 0 V
16	 450.0 mV	 -211.520 uA	 104.39 ms	 0 V
17	 480.0 mV	 -174.300 uA	 110.57 ms	 0 V
18	 510.0 mV	 -143.060 uA	 116.72 ms	 0 V
19	 540.0 mV	 -111.940 uA	 122.90 ms	 0 V
20	 570.0 mV	 -89.9920 uA	 135.72 ms	 0 V
21	 600.0 mV	 -68.8660 uA	 145.05 ms	 0 V
22	 630.0 mV	 -52.2920 uA	 151.21 ms	 0 V
23	 660.0 mV	 -38.8900 uA	 157.32 ms	 0 V
24	 690.0 mV	 -28.3300 uA	 163.50 ms	 0 V
25	 720.0 mV	 -21.7640 uA	 169.63 ms	 0 V
26	 750.0 mV	 -16.7900 uA	 178.78 ms	 0 V
27	 780.0 mV	 -14.5180 uA	 185.25 ms	 0 V
28	 810.0 mV	 -13.0360 uA	 192.96 ms	 0 V
29	 840.0 mV	 -11.8680 uA	 212.98 ms	 0 V
30	 870.0 mV	 -10.9120 uA	 234.43 ms	 0 V
31	 900.0 mV	 -10.8300 uA	 240.55 ms	 0 V
32	 930.0 mV	 -11.1680 uA	 248.20 ms	 0 V
33	 960.0 mV	 -9.8740 uA	 273.82 ms	 0 V
34	 990.0 mV	 -10.7220 uA	 279.96 ms	 0 V
35	 1.0200 V	 -10.4100 uA	 308.72 ms	 0 V
36	 1.0500 V	 -10.6060 uA	 334.07 ms	 0 V
37	 1.0800 V	 -11.3720 uA	 361.18 ms	 0 V
