Index	Vg	Id	Time	Vd
1	 0 V	 4.32772 nA	 69.00 ms	 0 V
2	 30.0 mV	 -3.95472 nA	 78.36 ms	 0 V
3	 60.0 mV	 4.60840 nA	 89.51 ms	 0 V
4	 90.0 mV	 -4.31746 nA	 99.04 ms	 0 V
5	 120.0 mV	 4.08490 nA	 108.60 ms	 0 V
6	 150.0 mV	 -3.95356 nA	 118.33 ms	 0 V
7	 180.0 mV	 4.61360 nA	 129.45 ms	 0 V
8	 210.0 mV	 -4.28966 nA	 138.94 ms	 0 V
9	 240.0 mV	 4.05606 nA	 148.52 ms	 0 V
10	 270.0 mV	 -4.42534 nA	 160.51 ms	 0 V
11	 300.0 mV	 5.95600 nA	 169.79 ms	 0 V
12	 330.0 mV	 181.42 pA	 179.55 ms	 0 V
13	 360.0 mV	 8.19740 nA	 188.08 ms	 0 V
14	 390.0 mV	 2.2909 nA	 241.59 ms	 0 V
15	 420.0 mV	 1.20716 nA	 285.96 ms	 0 V
16	 450.0 mV	 2.80550 nA	 295.53 ms	 0 V
17	 480.0 mV	 3.17130 nA	 305.03 ms	 0 V
18	 510.0 mV	 4.71196 nA	 314.62 ms	 0 V
19	 540.0 mV	 6.72536 nA	 324.09 ms	 0 V
20	 570.0 mV	 9.04634 nA	 333.62 ms	 0 V
21	 600.0 mV	 11.20704 nA	 343.10 ms	 0 V
22	 630.0 mV	 551.730 nA	 371.34 ms	 0 V
23	 660.0 mV	 383.960 nA	 377.99 ms	 0 V
24	 690.0 mV	 346.810 nA	 384.57 ms	 0 V
25	 720.0 mV	 355.270 nA	 390.99 ms	 0 V
26	 750.0 mV	 372.950 nA	 396.93 ms	 0 V
27	 780.0 mV	 412.980 nA	 403.52 ms	 0 V
28	 810.0 mV	 428.050 nA	 410.13 ms	 0 V
29	 840.0 mV	 467.130 nA	 418.09 ms	 0 V
30	 870.0 mV	 505.680 nA	 424.67 ms	 0 V
31	 900.0 mV	 531.400 nA	 431.34 ms	 0 V
32	 930.0 mV	 572.630 nA	 438.02 ms	 0 V
33	 960.0 mV	 593.730 nA	 444.59 ms	 0 V
34	 990.0 mV	 622.460 nA	 450.97 ms	 0 V
35	 1.0200 V	 657.490 nA	 457.82 ms	 0 V
36	 1.0500 V	 678.640 nA	 464.39 ms	 0 V
37	 1.0800 V	 714.860 nA	 470.79 ms	 0 V
