Index	Vg	Id	Time	Vd
1	 0 V	 -5.740 nA	 59.85 ms	 0 V
2	 30.0 mV	 -6.100 nA	 98.44 ms	 0 V
3	 60.0 mV	 2.0631 nA	 165.65 ms	 0 V
4	 90.0 mV	 -10.40 nA	 220.82 ms	 0 V
5	 120.0 mV	 -6.78526 nA	 277.28 ms	 0 V
6	 150.0 mV	 -6.0340 nA	 314.81 ms	 0 V
7	 180.0 mV	 -5.99044 nA	 357.50 ms	 0 V
8	 210.0 mV	 6.14512 nA	 367.02 ms	 0 V
9	 240.0 mV	 -2.270 nA	 413.78 ms	 0 V
10	 270.0 mV	 -1.69902 nA	 460.57 ms	 0 V
11	 300.0 mV	 2.83838 nA	 470.04 ms	 0 V
12	 330.0 mV	 -6.740 nA	 537.76 ms	 0 V
13	 360.0 mV	 -708.1 pA	 599.92 ms	 0 V
14	 390.0 mV	 5.680 nA	 646.42 ms	 0 V
15	 420.0 mV	 -4.670 nA	 694.65 ms	 0 V
16	 450.0 mV	 2.720 nA	 726.79 ms	 0 V
17	 480.0 mV	 -15.610 nA	 758.95 ms	 0 V
18	 510.0 mV	 -6.350 nA	 792.37 ms	 0 V
19	 540.0 mV	 -16.4748 nA	 811.08 ms	 0 V
20	 570.0 mV	 -13.040 nA	 843.65 ms	 0 V
21	 600.0 mV	 -20.0981 nA	 859.79 ms	 0 V
22	 630.0 mV	 -31.0834 nA	 890.24 ms	 0 V
23	 660.0 mV	 -25.5462 nA	 905.49 ms	 0 V
24	 690.0 mV	 -29.2591 nA	 920.73 ms	 0 V
25	 720.0 mV	 -39.4989 nA	 935.76 ms	 0 V
26	 750.0 mV	 -41.4560 nA	 951.06 ms	 0 V
27	 780.0 mV	 -32.7593 nA	 966.38 ms	 0 V
28	 810.0 mV	 -38.2107 nA	 981.59 ms	 0 V
29	 840.0 mV	 -38.8893 nA	 996.84 ms	 0 V
30	 870.0 mV	 -47.8379 nA	 1.01285 s	 0 V
31	 900.0 mV	 -33.1372 nA	 1.02809 s	 0 V
32	 930.0 mV	 -31.0616 nA	 1.04330 s	 0 V
33	 960.0 mV	 -32.5036 nA	 1.05859 s	 0 V
34	 990.0 mV	 -39.8193 nA	 1.07392 s	 0 V
35	 1.0200 V	 -27.0779 nA	 1.08916 s	 0 V
36	 1.0500 V	 -26.3289 nA	 1.10576 s	 0 V
37	 1.0800 V	 -26.9923 nA	 1.12249 s	 0 V
38	 1.1100 V	 -26.0653 nA	 1.13779 s	 0 V
39	 1.1400 V	 -22.3094 nA	 1.15310 s	 0 V
40	 1.1700 V	 -18.1051 nA	 1.16831 s	 0 V
41	 1.2000 V	 -13.4082 nA	 1.18482 s	 0 V
42	 0 V	 1.88182 nA	 1.41032 s	 100.00 mV
43	 30.0 mV	 -6.16360 nA	 1.47536 s	 100.00 mV
44	 60.0 mV	 4.1875 nA	 1.56224 s	 100.00 mV
45	 90.0 mV	 -731.0 pA	 1.57777 s	 100.00 mV
46	 120.0 mV	 -3.2908 nA	 1.61067 s	 100.00 mV
47	 150.0 mV	 -5.66622 nA	 1.65436 s	 100.00 mV
48	 180.0 mV	 5.03046 nA	 1.66408 s	 100.00 mV
49	 210.0 mV	 -5.95874 nA	 1.67511 s	 100.00 mV
50	 240.0 mV	 5.47782 nA	 1.68459 s	 100.00 mV
51	 270.0 mV	 -5.62052 nA	 1.69444 s	 100.00 mV
52	 300.0 mV	 4.96898 nA	 1.70401 s	 100.00 mV
53	 330.0 mV	 -5.85168 nA	 1.71510 s	 100.00 mV
54	 360.0 mV	 5.80546 nA	 1.72465 s	 100.00 mV
55	 390.0 mV	 -4.2177 nA	 1.75492 s	 100.00 mV
56	 420.0 mV	 4.2699 nA	 1.77018 s	 100.00 mV
57	 450.0 mV	 30.4075 nA	 1.78540 s	 100.00 mV
58	 480.0 mV	 96.5817 nA	 1.80049 s	 100.00 mV
59	 510.0 mV	 263.300 nA	 1.83048 s	 100.00 mV
60	 540.0 mV	 582.590 nA	 1.83623 s	 100.00 mV
61	 570.0 mV	 1.20220 uA	 1.88293 s	 100.00 mV
62	 600.0 mV	 2.07780 uA	 1.89048 s	 100.00 mV
63	 630.0 mV	 3.28210 uA	 1.89956 s	 100.00 mV
64	 660.0 mV	 4.84380 uA	 1.90719 s	 100.00 mV
65	 690.0 mV	 6.71730 uA	 1.91479 s	 100.00 mV
66	 720.0 mV	 8.89370 uA	 1.92243 s	 100.00 mV
67	 750.0 mV	 11.30170 uA	 1.93005 s	 100.00 mV
68	 780.0 mV	 13.9050 uA	 1.96697 s	 100.00 mV
69	 810.0 mV	 16.6660 uA	 1.97355 s	 100.00 mV
70	 840.0 mV	 19.5660 uA	 1.97999 s	 100.00 mV
71	 870.0 mV	 22.5110 uA	 1.98561 s	 100.00 mV
72	 900.0 mV	 25.4710 uA	 1.99274 s	 100.00 mV
73	 930.0 mV	 28.3910 uA	 1.99841 s	 100.00 mV
74	 960.0 mV	 31.2210 uA	 2.00402 s	 100.00 mV
75	 990.0 mV	 34.0180 uA	 2.01069 s	 100.00 mV
76	 1.0200 V	 36.7360 uA	 2.01631 s	 100.00 mV
77	 1.0500 V	 39.3750 uA	 2.02214 s	 100.00 mV
