temperature,chip3,chip4,chip5,,avg,stdev,device
85,,0.6444,0.6361,,0.6403,0.0059,nmos1
115,,0.6407,0.6279,,0.6343,0.0091,nmos1
140,,0.6343,0.6189,,0.6266,0.0109,nmos1
185,,0.6175,0.6016,,0.6096,0.0112,nmos1
220,,0.6027,0.5852,,0.5940,0.0124,nmos1
295,,0.5628,0.5468,,0.5548,0.0113,nmos1
85,,0.6444,0.6784,,0.6614,0.0240,nmos2
115,,0.6407,0.6703,,0.6555,0.0209,nmos2
140,,0.6343,0.6612,,0.6477,0.0190,nmos2
185,,0.6175,0.6420,,0.6298,0.0174,nmos2
220,,0.6027,0.6271,,0.6149,0.0173,nmos2
295,,0.5628,0.5881,,0.5755,0.0179,nmos2
85,0.639307346,0.646749889,0.654676604,,0.646911279,0.0076859,nmos3
115,0.634973615,0.639411271,0.645815628,,0.640066838,0.005450655,nmos3
140,0.6229175,0.630369131,0.637073389,,0.630120007,0.007081232,nmos3
185,0.60369298,0.611603881,0.618234542,,0.611177134,0.007280167,nmos3
220,0.585647465,0.595672111,0.601260106,,0.594193227,0.007910687,nmos3
295,0.545373436,0.554167158,0.562088939,,0.553876511,0.008361541,nmos3
85,0.668393551,0.667774538,0.670121948,,0.668763346,0.001216612,nmos4
115,0.657675383,0.656957197,0.65816928,,0.65760062,0.00060949,nmos4
140,0.646957799,0.644829827,0.64723777,,0.646341799,0.001316868,nmos4
185,0.621137093,0.621269334,0.621322247,,0.621242891,9.53673E-05,nmos4
220,0.602238844,0.599841896,0.601607366,,0.601229369,0.001242378,nmos4
295,0.547966427,0.550423998,0.555130983,,0.551173802,0.003640655,nmos4
85,-0.66861571,-0.769745144,-0.664640537,,-0.701000464,0.059567809,pmos1
115,-0.648429396,-0.758068097,-0.644695616,,-0.683731036,0.064404846,pmos1
140,-0.630396558,-0.749641937,-0.62730355,,-0.669114015,0.069756372,pmos1
185,-0.594548,-0.730800524,-0.588967102,,-0.638105209,0.080324982,pmos1
220,-0.58706203,-0.715736227,-0.565063946,,-0.622620734,0.081387039,pmos1
295,-0.51927997,-0.68722687,-0.510521381,,-0.572342741,0.099588908,pmos1
85,-0.6876634,-0.693156012,-0.696037202,,-0.692285538,0.004254225,pmos2
115,-0.665150205,-0.671069166,-0.675850373,,-0.670689915,0.005360156,pmos2
140,-0.645624972,-0.65558941,-0.65837803,,-0.653197471,0.006704562,pmos2
185,-0.607329339,-0.617705716,-0.617980092,,-0.614338382,0.00607156,pmos2
220,-0.580603587,-0.590495694,-0.591562526,,-0.587553936,0.006042768,pmos2
295,-0.519679957,-0.531714014,-0.531409449,,-0.52760114,0.006861635,pmos2
85,,-0.623359392,-0.625014604,,-0.624186998,0.001170412,pmos3
115,,-0.602074762,-0.604842446,,-0.603458604,0.001957048,pmos3
140,,-0.588089224,-0.586424445,,-0.587256835,0.001177177,pmos3
185,,-0.552160183,-0.554338219,,-0.553249201,0.001540104,pmos3
220,,-0.525829225,-0.526888673,,-0.526358949,0.000749143,pmos3
295,,-0.46952853,-0.469330332,,-0.469429431,0.000140147,pmos3
85,,-0.668044294,-0.6706,,-0.669322147,0.001807157,pmos4
115,-0.640906782,-0.638616405,-0.6405,,-0.640007729,0.001221968,pmos4
140,-0.61538596,-0.618782736,-0.6189,,-0.617689565,0.001995842,pmos4
185,-0.574899559,-0.574880056,-0.5789,,-0.576226538,0.002315306,pmos4
220,-0.546654073,-0.546439322,-0.5484,,-0.547164465,0.001075379,pmos4
295,-0.479681885,-0.485417391,-0.4859,,-0.483666425,0.00345914,pmos4
