device_type,device_index,temp_avg,method,vds,dvth_dt_mean,dvth_dt_std,dvth_dt_count,vth_low_mean,vth_high_mean,temp_low_mean,temp_high_mean
nmos,1,100.0,traditional,0.1,-0.00019366300503214083,0.00014732680466936023,2,0.6389057044165465,0.6330958142655823,85.0,115.0
nmos,1,100.0,sqrt,1.2,-0.00022953865930902908,6.207529503915065e-05,2,0.47419469063065467,0.4673085308513838,85.0,115.0
nmos,1,127.5,traditional,0.1,-0.00031619152916890104,1.5937158157959548e-05,2,0.6330958142655823,0.6251910260363598,115.0,140.0
nmos,1,127.5,sqrt,1.2,-0.00042043123443156745,8.907710119078707e-05,2,0.4673085308513838,0.45679774999059464,115.0,140.0
nmos,1,162.5,traditional,0.1,-0.00036793591032097735,3.041827278597954e-06,2,0.6251910260363598,0.6086339100719158,140.0,185.0
nmos,1,162.5,sqrt,1.2,-0.000322380287905722,8.769858689846693e-05,2,0.45679774999059464,0.4422906370348372,140.0,185.0
nmos,1,202.5,traditional,0.1,-0.000473802546320244,8.090472935441341e-05,2,0.6086339100719158,0.5920508209507072,185.0,220.0
nmos,1,202.5,sqrt,1.2,-0.00044629288938980913,2.0149095713116587e-05,2,0.4422906370348372,0.4266703859061938,185.0,220.0
nmos,1,257.5,traditional,0.1,-0.0005028081492690725,5.0051106386610424e-05,2,0.5920508209507072,0.5543402097555268,220.0,295.0
nmos,1,257.5,sqrt,1.2,-0.0005489313870882591,1.6366972504177193e-05,2,0.4266703859061938,0.3855005318745744,220.0,295.0
nmos,2,100.0,traditional,0.1,-0.00022851673293735795,2.1907744276265658e-05,2,0.6796782168892354,0.6728227149011146,85.0,115.0
nmos,2,100.0,sqrt,1.2,-0.00030908855316412747,8.00182963014532e-05,2,0.5174934569510576,0.5082208003561337,85.0,115.0
nmos,2,127.5,traditional,0.1,-0.00032085699865395554,1.3749438926968525e-05,2,0.6728227149011146,0.6648012899347657,115.0,140.0
nmos,2,127.5,sqrt,1.2,-0.00035267846787513603,5.6024235860974825e-05,2,0.5082208003561337,0.49940383865925536,115.0,140.0
nmos,2,162.5,traditional,0.1,-0.00041182023239055843,4.707766929213176e-06,2,0.6648012899347657,0.6462693794771905,140.0,185.0
nmos,2,162.5,sqrt,1.2,-0.000380373193916418,3.6293092581871314e-05,2,0.49940383865925536,0.48228704493301655,140.0,185.0
nmos,2,202.5,traditional,0.1,-0.00035730215878117613,0.00010010646907066325,2,0.6462693794771905,0.6337638039198494,185.0,220.0
nmos,2,202.5,sqrt,1.2,-0.000431734284586285,6.945539466841289e-05,2,0.48228704493301655,0.4671763449724966,185.0,220.0
nmos,2,205.0,traditional,0.1,-0.000531968048134748,,1,0.6856374807987716,0.589883232134517,115.0,295.0
nmos,2,205.0,sqrt,1.2,-0.0004533695735952516,,1,0.5117297180774005,0.43012319483025524,115.0,295.0
nmos,2,257.5,traditional,0.1,-0.0006116265474089974,6.335311626969278e-05,2,0.6337638039198494,0.5878918128641746,220.0,295.0
nmos,2,257.5,sqrt,1.2,-0.0005643882947534136,9.462282983408972e-06,2,0.4671763449724966,0.4248472228659905,220.0,295.0
nmos,3,100.0,traditional,0.1,-0.0002095242027639974,4.2258658769180524e-05,3,0.6427510639086947,0.6364653378257749,85.0,115.0
nmos,3,100.0,sqrt,1.2,-0.00023422646188656697,6.73914326549878e-05,3,0.48287569621186205,0.47584890235526506,85.0,115.0
nmos,3,127.5,traditional,0.1,-0.00038250847569536303,2.7653059700423537e-05,3,0.6364653378257749,0.6269026259333907,115.0,140.0
nmos,3,127.5,sqrt,1.2,-0.00035223197571683686,3.556908932139432e-05,3,0.47584890235526506,0.46704310296234414,115.0,140.0
nmos,3,162.5,traditional,0.1,-0.00040587350127057383,1.7988749732589252e-05,3,0.6269026259333907,0.608638318376215,140.0,185.0
