file_path,temperature,device,vd_V,vth_V,gm_max_A_per_V,gm_max_index,num_points,notes
/home/alberto/vthcalculator/chip3/115K/Nmos/2.txt,115K,nmos,0.1,0.685637,0.0001302,32,41,
/home/alberto/vthcalculator/chip3/115K/Nmos/3.txt,115K,nmos,0.1,0.630782,0.00417133,28,41,
/home/alberto/vthcalculator/chip3/115K/Nmos/4.txt,115K,nmos,0.1,0.653801,0.00165667,29,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/1.txt,115K,pmos,1.1,-0.644679,3.61133e-05,11,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/2.txt,115K,pmos,1.1,-0.660305,7.86e-05,11,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,1.1,-0.636667,0.000798,11,41,
/home/alberto/vthcalculator/chip3/140K/Nmos/3.txt,140K,nmos,0.1,0.620433,0.0039295,28,41,
/home/alberto/vthcalculator/chip3/140K/Nmos/4.txt,140K,nmos,0.1,0.644153,0.00152333,29,41,
/home/alberto/vthcalculator/chip3/140K/Pmos/1.txt,140K,pmos,1.1,-0.625508,3.48517e-05,12,41,
/home/alberto/vthcalculator/chip3/140K/Pmos/2.txt,140K,pmos,1.1,-0.641984,7.51e-05,11,41,
/home/alberto/vthcalculator/chip3/140K/Pmos/4.txt,140K,pmos,1.1,-0.61241,0.000716333,13,41,
/home/alberto/vthcalculator/chip3/185K/Nmos/3.txt,185K,nmos,0.1,0.601865,0.00348317,26,40,
/home/alberto/vthcalculator/chip3/185K/Nmos/4.txt,185K,nmos,0.1,0.620054,0.00125583,29,41,
/home/alberto/vthcalculator/chip3/185K/Pmos/1.txt,185K,pmos,1.1,-0.590803,3.22183e-05,12,41,
/home/alberto/vthcalculator/chip3/185K/Pmos/2.txt,185K,pmos,1.1,-0.604467,6.85e-05,12,41,
/home/alberto/vthcalculator/chip3/185K/Pmos/4.txt,185K,pmos,1.1,-0.570986,0.000588333,13,41,
/home/alberto/vthcalculator/chip3/220K/Nmos/4.txt,220K,nmos,0.1,0.603249,0.00107433,28,41,
/home/alberto/vthcalculator/chip3/220K/Pmos/1.txt,220K,pmos,1.1,-0.593292,3.2195e-05,13,40,
/home/alberto/vthcalculator/chip3/220K/Pmos/2.txt,220K,pmos,1.1,-0.580726,6.34e-05,11,40,
/home/alberto/vthcalculator/chip3/220K/Pmos/4.txt,220K,pmos,1.1,-0.545207,0.000514667,13,40,
/home/alberto/vthcalculator/chip3/295K/Nmos/2.txt,295K,nmos,0.1,0.589883,7.13667e-05,28,38,
/home/alberto/vthcalculator/chip3/295K/Nmos/3.txt,295K,nmos,0.1,0.541996,0.00248517,26,41,
/home/alberto/vthcalculator/chip3/295K/Nmos/4.txt,295K,nmos,0.1,0.546488,0.000746,27,41,
/home/alberto/vthcalculator/chip3/295K/Pmos/1.txt,295K,pmos,1.1,-0.518625,2.59417e-05,14,41,
/home/alberto/vthcalculator/chip3/295K/Pmos/2.txt,295K,pmos,1.1,-0.516545,5.31667e-05,15,41,
/home/alberto/vthcalculator/chip3/85K/Pmos/1.txt,85K,pmos,1.1,-0.662934,3.702e-05,10,41,
/home/alberto/vthcalculator/chip3/85K/Pmos/2.txt,85K,pmos,1.1,-0.681018,8.11667e-05,10,41,
/home/alberto/vthcalculator/chip3/85K/Pmos/3.txt,85K,pmos,1.1,-0.664813,0.000889333,11,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,0.1,0.641268,9.84167e-05,29,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,0.1,0.678984,0.000192317,30,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,0.1,0.635549,0.00410783,28,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/4.txt,115K,nmos,0.1,0.65296,0.00164983,29,41,
/home/alberto/vthcalculator/chip4/115K/Pmos/1.txt,115K,pmos,1.1,-0.626932,3.60467e-05,11,41,
/home/alberto/vthcalculator/chip4/115K/Pmos/2.txt,115K,pmos,1.1,-0.66423,7.18667e-05,10,41,
/home/alberto/vthcalculator/chip4/115K/Pmos/3.txt,115K,pmos,1.1,-0.59879,0.00140533,14,41,
/home/alberto/vthcalculator/chip4/115K/Pmos/4.txt,115K,pmos,1.1,-0.634579,0.000779667,12,41,
/home/alberto/vthcalculator/chip4/140K/Nmos/1.txt,140K,nmos,0.1,0.633082,9.28e-05,30,41,
/home/alberto/vthcalculator/chip4/140K/Nmos/2.txt,140K,nmos,0.1,0.671206,0.0001816,30,41,
/home/alberto/vthcalculator/chip4/140K/Nmos/3.txt,140K,nmos,0.1,0.62626,0.00387133,27,41,
/home/alberto/vthcalculator/chip4/140K/Nmos/4.txt,140K,nmos,0.1,0.642564,0.00151783,29,41,
/home/alberto/vthcalculator/chip4/140K/Pmos/1.txt,140K,pmos,1.1,-0.611608,3.48733e-05,12,41,
/home/alberto/vthcalculator/chip4/140K/Pmos/2.txt,140K,pmos,1.1,-0.64963,6.94333e-05,12,41,
/home/alberto/vthcalculator/chip4/140K/Pmos/3.txt,140K,pmos,1.1,-0.584018,0.001359,14,41,
/home/alberto/vthcalculator/chip4/140K/Pmos/4.txt,140K,pmos,1.1,-0.6158,0.000706333,12,41,
/home/alberto/vthcalculator/chip4/185K/Nmos/1.txt,185K,nmos,0.1,0.616428,8.19333e-05,28,41,
/home/alberto/vthcalculator/chip4/185K/Nmos/2.txt,185K,nmos,0.1,0.652824,0.000159417,30,41,
/home/alberto/vthcalculator/chip4/185K/Nmos/3.txt,185K,nmos,0.1,0.608913,0.00344,27,41,
/home/alberto/vthcalculator/chip4/185K/Nmos/4.txt,185K,nmos,0.1,0.619682,0.001258,29,41,
/home/alberto/vthcalculator/chip4/185K/Pmos/1.txt,185K,pmos,1.1,-0.575443,3.2485e-05,13,41,
/home/alberto/vthcalculator/chip4/185K/Pmos/2.txt,185K,pmos,1.1,-0.614738,6.48667e-05,12,41,
/home/alberto/vthcalculator/chip4/185K/Pmos/3.txt,185K,pmos,1.1,-0.547937,0.00127,15,41,
/home/alberto/vthcalculator/chip4/185K/Pmos/4.txt,185K,pmos,1.1,-0.571164,0.000584,13,41,
/home/alberto/vthcalculator/chip4/220K/Nmos/1.txt,220K,nmos,0.1,0.601847,7.41667e-05,28,41,
/home/alberto/vthcalculator/chip4/220K/Nmos/2.txt,220K,nmos,0.1,0.637841,0.000145267,29,41,
/home/alberto/vthcalculator/chip4/220K/Nmos/3.txt,220K,nmos,0.1,0.592904,0.00311733,27,41,
/home/alberto/vthcalculator/chip4/220K/Nmos/4.txt,220K,nmos,0.1,0.599264,0.00107283,28,41,
/home/alberto/vthcalculator/chip4/220K/Pmos/1.txt,220K,pmos,1.1,-0.550812,3.0365e-05,14,41,
/home/alberto/vthcalculator/chip4/220K/Pmos/2.txt,220K,pmos,1.1,-0.588229,6.02333e-05,13,41,
/home/alberto/vthcalculator/chip4/220K/Pmos/3.txt,220K,pmos,1.1,-0.521965,0.00118767,16,41,
/home/alberto/vthcalculator/chip4/220K/Pmos/4.txt,220K,pmos,1.1,-0.541504,0.000505333,15,41,
/home/alberto/vthcalculator/chip4/295K/Nmos/1.txt,295K,nmos,0.1,0.561482,5.85833e-05,29,41,
/home/alberto/vthcalculator/chip4/295K/Nmos/2.txt,295K,nmos,0.1,0.588609,0.000111667,29,41,
/home/alberto/vthcalculator/chip4/295K/Nmos/3.txt,295K,nmos,0.1,0.551571,0.00248117,26,41,
/home/alberto/vthcalculator/chip4/295K/Nmos/4.txt,295K,nmos,0.1,0.549689,0.000760667,28,41,
/home/alberto/vthcalculator/chip4/295K/Pmos/1.txt,295K,pmos,1.1,-0.498587,2.57083e-05,15,41,
/home/alberto/vthcalculator/chip4/295K/Pmos/2.txt,295K,pmos,1.1,-0.529388,5.01333e-05,14,41,
