temperature,device,device_index,count,mean_vth_V,std_vth_V,min_vth_V,max_vth_V
115K,nmos,1,2,0.6330955,0.011557660338494119,0.624923,0.641268
115K,nmos,2,3,0.677094,0.009628147225712784,0.666661,0.685637
115K,nmos,3,3,0.6364653333333333,0.006192557818327838,0.630782,0.643065
115K,nmos,4,3,0.653596,0.0005622641727871463,0.65296,0.654027
115K,pmos,1,3,-0.6386353333333333,0.010137202391850156,-0.644679,-0.626932
115K,pmos,2,3,-0.664087,0.003712566093687779,-0.667726,-0.660305
115K,pmos,3,2,-0.5999565,0.0016496801205081576,-0.601123,-0.59879
115K,pmos,4,3,-0.6359413333333334,0.0011806541971861716,-0.636667,-0.634579
140K,nmos,1,2,0.625191,0.011159559220686184,0.6173,0.633082
140K,nmos,2,2,0.6648015,0.009057330760218498,0.658397,0.671206
140K,nmos,3,3,0.626903,0.006814290792151467,0.620433,0.634016
140K,nmos,4,3,0.643712,0.0010030538370396334,0.642564,0.644419
140K,pmos,1,3,-0.6211593333333333,0.008282711230830912,-0.626362,-0.611608
140K,pmos,2,3,-0.6482,0.0056386767951355264,-0.652986,-0.641984
140K,pmos,3,2,-0.583241,0.001098843937963934,-0.584018,-0.582464
140K,pmos,4,3,-0.6144396666666667,0.0017913766586994833,-0.6158,-0.61241
185K,nmos,1,2,0.608634,0.011022380505135857,0.60084,0.616428
185K,nmos,2,2,0.6462695,0.009269462794574438,0.639715,0.652824
185K,nmos,3,3,0.6086383333333334,0.006640261842226893,0.601865,0.615137
185K,nmos,4,3,0.620131,0.0004920396325500905,0.619682,0.620657
185K,pmos,1,3,-0.5841643333333333,0.007888949570971597,-0.590803,-0.575443
185K,pmos,2,3,-0.6113783333333332,0.005986160065796183,-0.61493,-0.604467
185K,pmos,3,2,-0.548816,0.0012430937213260163,-0.549695,-0.547937
185K,pmos,4,3,-0.5724573333333334,0.002395925151863741,-0.575222,-0.570986
220K,nmos,1,2,0.5920505,0.013854343163788006,0.582254,0.601847
220K,nmos,2,2,0.633764,0.005765748693795104,0.629687,0.637841
220K,nmos,3,2,0.5963605000000001,0.004888229178342605,0.592904,0.599817
220K,nmos,4,3,0.6009796666666667,0.0020493819393498855,0.599264,0.603249
220K,pmos,1,3,-0.5694673333333333,0.021706660391072025,-0.593292,-0.550812
220K,pmos,2,3,-0.5852506666666667,0.003983354407196713,-0.588229,-0.580726
220K,pmos,3,2,-0.522331,0.0005176021638285209,-0.522697,-0.521965
220K,pmos,4,3,-0.5436136666666667,0.0019047315646393225,-0.545207,-0.541504
295K,nmos,1,2,0.55434,0.010100313262468737,0.547198,0.561482
295K,nmos,2,3,0.5885556666666667,0.0013547875602224113,0.587175,0.589883
295K,nmos,3,3,0.5512826666666667,0.00914590937705665,0.541996,0.560281
295K,nmos,4,3,0.5506063333333333,0.004645433707775121,0.546488,0.555642
295K,pmos,1,3,-0.5084013333333334,0.010025269389564221,-0.518625,-0.498587
295K,pmos,2,3,-0.5251513333333334,0.007453599957962134,-0.529521,-0.516545
295K,pmos,3,2,-0.466833,0.0001697056274847841,-0.466953,-0.466713
295K,pmos,4,2,-0.484364,0.0012756206332605318,-0.485266,-0.483462
85K,nmos,1,2,0.6389055,0.007138242956078173,0.633858,0.643953
85K,nmos,2,2,0.679678,0.008056774664839454,0.673981,0.685375
85K,nmos,3,2,0.6462315000000001,0.006192134082850568,0.641853,0.65061
85K,nmos,4,2,0.6641425,0.0014813887065857872,0.663095,0.66519
85K,pmos,1,3,-0.6575893333333332,0.011071013744609542,-0.664974,-0.64486
85K,pmos,2,3,-0.6843300000000001,0.0031268247472475553,-0.687231,-0.681018
85K,pmos,3,3,-0.6351006666666666,0.02575567355619601,-0.664813,-0.619132
85K,pmos,4,2,-0.6648465,0.0010274261530640017,-0.665573,-0.66412
