chip,device_type,device_index,temperature,method,vds,vth
chip3,nmos,3,140.0,traditional,0.1,0.6204326250159057
chip3,nmos,3,140.0,sqrt,1.2,0.4590769041307634
chip3,nmos,4,140.0,traditional,0.1,0.6441531728665204
chip3,nmos,4,140.0,sqrt,1.2,0.5379555106723178
chip3,pmos,4,140.0,traditional,1.1,-0.6124104234527689
chip3,pmos,4,140.0,sqrt,0.0,-0.5167856517291806
chip3,pmos,2,140.0,traditional,1.1,-0.641984021304927
chip3,pmos,2,140.0,sqrt,0.0,-0.5189321881583666
chip3,pmos,1,140.0,traditional,1.1,-0.6255081057816458
chip3,pmos,1,140.0,sqrt,0.0,-0.49361616934028174
chip3,nmos,3,185.0,traditional,0.1,0.601864682520695
chip3,nmos,3,185.0,sqrt,1.2,0.43692376757995705
chip3,nmos,4,185.0,traditional,0.1,0.6200544127405438
chip3,nmos,4,185.0,sqrt,1.2,0.5103744755407124
chip3,pmos,4,185.0,traditional,1.1,-0.5709858356940514
chip3,pmos,4,185.0,sqrt,0.0,-0.47222785794692596
chip3,pmos,2,185.0,traditional,1.1,-0.6044671532846713
chip3,pmos,2,185.0,sqrt,0.0,-0.48106649483899505
chip3,pmos,1,185.0,traditional,1.1,-0.5908033728208576
chip3,pmos,1,185.0,sqrt,0.0,-0.4583038977120476
chip3,pmos,3,85.0,traditional,1.1,-0.6648125937031487
chip3,pmos,3,85.0,sqrt,0.0,-0.5691029169578735
chip3,pmos,2,85.0,traditional,1.1,-0.6810184804928128
chip3,pmos,2,85.0,sqrt,0.0,-0.5570176725637324
chip3,pmos,1,85.0,traditional,1.1,-0.6629335494327385
chip3,pmos,1,85.0,sqrt,0.0,-0.5251650491065298
chip3,nmos,4,220.0,traditional,0.1,0.6032485262178097
chip3,nmos,4,220.0,sqrt,1.2,0.4865599533910548
chip3,pmos,4,220.0,traditional,1.1,-0.5452072538860107
chip3,pmos,4,220.0,sqrt,0.0,-0.4244726257681834
chip3,pmos,2,220.0,traditional,1.1,-0.5807255520504737
chip3,pmos,2,220.0,sqrt,0.0,-0.3718250863099763
chip3,pmos,1,220.0,traditional,1.1,-0.5932924367137757
chip3,pmos,1,220.0,sqrt,0.0,-0.37255450269143614
chip3,nmos,3,295.0,traditional,0.1,0.5419958419958417
chip3,nmos,3,295.0,sqrt,1.2,0.38082078608519854
chip3,nmos,4,295.0,traditional,0.1,0.5464879356568366
chip3,nmos,4,295.0,sqrt,1.2,0.4377485012930095
chip3,nmos,2,295.0,traditional,0.1,0.589883232134517
chip3,nmos,2,295.0,sqrt,1.2,0.43012319483025524
chip3,pmos,2,295.0,traditional,1.1,-0.5165454545454543
chip3,pmos,2,295.0,sqrt,0.0,-0.3942006653350091
chip3,pmos,1,295.0,traditional,1.1,-0.5186251204625765
chip3,pmos,1,295.0,sqrt,0.0,-0.3783675466314667
chip3,nmos,3,115.0,traditional,0.1,0.6307815246923448
chip3,nmos,3,115.0,sqrt,1.2,0.468247721798391
chip3,nmos,4,115.0,traditional,0.1,0.6538008048289737
chip3,nmos,4,115.0,sqrt,1.2,0.5495187690273418
chip3,nmos,2,115.0,traditional,0.1,0.6856374807987716
chip3,nmos,2,115.0,sqrt,1.2,0.5117297180774005
chip3,pmos,4,115.0,traditional,1.1,-0.6366666666666669
chip3,pmos,4,115.0,sqrt,0.0,-0.5416346007724002
chip3,pmos,2,115.0,traditional,1.1,-0.6603053435114506
chip3,pmos,2,115.0,sqrt,0.0,-0.5367139748016994
chip3,pmos,1,115.0,traditional,1.1,-0.6446787889976006
chip3,pmos,1,115.0,sqrt,0.0,-0.5083208839738302
chip4,nmos,3,140.0,traditional,0.1,0.6262596865851559
chip4,nmos,3,140.0,sqrt,1.2,0.470147173460536
chip4,nmos,4,140.0,traditional,0.1,0.6425639617876355
chip4,nmos,4,140.0,sqrt,1.2,0.5363380220761771
chip4,nmos,2,140.0,traditional,0.1,0.6712059471365638
chip4,nmos,2,140.0,sqrt,1.2,0.49530857737873624
chip4,nmos,1,140.0,traditional,0.1,0.633081896551724
chip4,nmos,1,140.0,sqrt,1.2,0.45938232582830224
chip4,pmos,3,140.0,traditional,1.1,-0.5840176600441503
chip4,pmos,3,140.0,sqrt,0.0,-0.4489120706864303
chip4,pmos,4,140.0,traditional,1.1,-0.6157999056158565
chip4,pmos,4,140.0,sqrt,0.0,-0.5181416435143245
chip4,pmos,2,140.0,traditional,1.1,-0.6496303408545365
chip4,pmos,2,140.0,sqrt,0.0,-0.5179562981059846
chip4,pmos,1,140.0,traditional,1.1,-0.6116077231886828
chip4,pmos,1,140.0,sqrt,0.0,-0.4853969223672438
chip4,nmos,3,185.0,traditional,0.1,0.6089127906976746
chip4,nmos,3,185.0,sqrt,1.2,0.45031445594813135
chip4,nmos,4,185.0,traditional,0.1,0.6196820349761525
chip4,nmos,4,185.0,sqrt,1.2,0.513227020477484
chip4,nmos,2,185.0,traditional,0.1,0.6528238369053838
chip4,nmos,2,185.0,sqrt,1.2,0.4793466227868667
chip4,nmos,1,185.0,traditional,0.1,0.6164279902359647
chip4,nmos,1,185.0,sqrt,1.2,0.447665764819882
chip4,pmos,3,185.0,traditional,1.1,-0.5479370078740156
chip4,pmos,3,185.0,sqrt,0.0,-0.410014612693224
chip4,pmos,4,185.0,traditional,1.1,-0.5711643835616442
chip4,pmos,4,185.0,sqrt,0.0,-0.47428114243860897
chip4,pmos,2,185.0,traditional,1.1,-0.6147379239465571
chip4,pmos,2,185.0,sqrt,0.0,-0.48413993006740896
chip4,pmos,1,185.0,traditional,1.1,-0.5754425119285828
chip4,pmos,1,185.0,sqrt,0.0,-0.44827691725410795
chip4,nmos,3,85.0,traditional,0.1,0.6418526266852629
